name,sex,tot
Debby,F,7594
Debora,F,26950
Deborah,F,736460
Debra,F,547723
Declan,M,27483
Dee,F,11945
Deena,F,9648
Deidra,F,7331
Deidre,F,11586
Deirdre,F,13455
Deja,F,13874
Delaney,F,33083
Delbert,M,41353
Delia,F,25034
Delilah,F,28768
Della,F,45742
Delmar,M,9493
Delois,F,6794
Delores,F,114241
Deloris,F,31773
Delphine,F,5813
Demarcus,M,11095
Demetria,F,8031
Demetrius,M,31445
Demi,F,6226
Dena,F,26494
Denice,F,7795
Denis,M,15265
Denise,F,369022
Denisse,F,5117
Dennis,M,612299
Denny,M,10594
Denver,M,9820
Denzel,M,7801
Deon,M,11159
Deonte,M,6213
Derek,M,226628
Derick,M,15519
Derrick,M,139386
Deshawn,M,12853
Desirae,F,10114
Desiree,F,79232
Desmond,M,28645
Dessie,F,6180
Destinee,F,14291
Destiney,F,5887
Destini,F,5860
Destiny,F,142398
Devan,M,10823
Devante,M,6543
Deven,M,7864
Devin,M,147637
Devin,F,14743
Devon,M,67007
Devon,F,16911
Devonte,M,9497
Devyn,F,5743
Dewayne,M,22206
Dewey,M,26806
Dexter,M,27167
Diamond,F,30584
Diana,F,353279
Diane,F,514962
Diann,F,9935
Dianna,F,52039
Dianne,F,92339
Dick,M,25449
Diego,M,98602
Dillon,M,59930
Dimitri,M,5056
Dina,F,26273
Dinah,F,6078
Dino,M,5788
Dion,M,13887
Dionne,F,7355
Dirk,M,7142
Dixie,F,37363
Dollie,F,12109
Dolly,F,13671
Dolores,F,206045
Domenic,M,7931
Domingo,M,10771
Dominic,M,153991
Dominick,M,57732
Dominik,M,6541
Dominique,M,20033
Dominique,F,47525
Don,M,161638
Dona,F,13675
Donald,M,1402716
Donna,F,826654
Donnell,M,10817
Donnie,M,56222
Donny,M,9107
Donovan,M,50474
Donte,M,12932
Dora,F,77027
Doreen,F,42480
Doretha,F,6246
Dorian,M,16546
Doris,F,448251
Dorothea,F,26620
Dorothy,F,1052410
Dorthy,F,16751
Dottie,F,5341
Doug,M,19926
Douglas,M,553827
Doyle,M,26665
Drake,M,30012
Drew,M,70051
Duane,M,110814
Dudley,M,6976
Dulce,F,15595
Duncan,M,13698
Dustin,M,202862
Dusty,M,7075
Dwayne,M,71665
Dwight,M,73111
Dylan,M,350700
Dylan,F,9275
Earl,M,263670
Earle,M,6374
Earlene,F,10990
Earline,F,13905
Earnest,M,50386
Earnestine,F,14226
Easton,M,38624
Ebony,F,36894
Ed,M,15452
Eddie,M,198639
Eddie,F,12203
Eddy,M,8391
Eden,F,28066
Edgar,M,138029
Edith,F,212739
Edmond,M,17960
Edmund,M,42672
Edna,F,226025
Eduardo,M,98876
Edward,M,1216449
Edwin,M,227013
Edwina,F,10803
Edythe,F,8454
Effie,F,21144
Efrain,M,15112
Efren,M,5737
Eileen,F,179935
Elaina,F,18500
Elaine,F,252992
Elbert,M,26963
Eldon,M,20445
Eleanor,F,257521
Eleanore,F,13676
Elena,F,65202
Eli,M,102400
Eliana,F,30833
Elias,M,65602
Elida,F,5679
Elijah,M,263125
Elinor,F,14754
Elisa,F,37019
Elisabeth,F,38857
Elise,F,56883
Eliseo,M,6606
Elisha,M,8227
Elisha,F,10537
Elissa,F,12601
Eliza,F,37269
Elizabeth,F,1519946
Ella,F,239751
Elle,F,10905
Ellen,F,249529
Elliana,F,9493
Ellie,F,49375
Elliot,M,33080
Elliott,M,36282
Ellis,M,33307
Elma,F,14392
Elmer,M,107972
Elmo,M,6430
Elnora,F,15230
Eloise,F,43198
Elouise,F,6619
Eloy,M,6208
Elsa,F,20517
Elsie,F,131273
Elton,M,15298
Elva,F,22191
Elvia,F,5093
Elvin,M,14719
Elvira,F,19902
Elvis,M,12547
Elwood,M,15481
Elyse,F,15050
Emanuel,M,43581
Ember,F,5506
Emely,F,16541
Emerson,F,16262
Emerson,M,15920
Emery,M,10419
Emery,F,15402
Emil,M,22978
Emilee,F,20037
Emilia,F,24275
Emiliano,M,18478
Emilie,F,18121
Emilio,M,34220
Emily,F,814980
Emma,F,553752
Emmalee,F,5914
Emmanuel,M,67505
Emmett,M,41399
Emmitt,M,5931
Emory,M,10922
Enrique,M,53149
Enzo,M,7942
Eric,M,869391
Erica,F,227868
Erich,M,7608
Erick,M,66118
Ericka,F,20342
Erik,M,148776
Erika,F,121326
Erin,M,6100
Erin,F,309873
Erma,F,46022
Ernest,M,275303
Ernestine,F,38792
Ernesto,M,39093
Ernie,M,11798
Ervin,M,32102
Erwin,M,14764
Esmeralda,F,42112
Esperanza,F,15950
Essence,F,7404
Essie,F,27645
Esteban,M,27024
Estefania,F,5035
Estela,F,6338
Estella,F,25923
Estelle,F,38250
Ester,F,10019
Estevan,M,6621
Esther,F,212276
Estrella,F,11600
Ethan,M,398112
Ethel,F,195068
Etta,F,24512
Eugene,M,362556
Eugenia,F,22736
Eula,F,35098
Eunice,F,65773
Eva,F,212395
Evan,M,252911
Evangelina,F,7008
Evangeline,F,18229
Eve,F,18014
Evelin,F,5095
Evelyn,F,524594
Evelynn,F,5317
Everett,M,90479
Everette,M,5597
Everly,F,8365
Evie,F,7391
Ezekiel,M,32389
Ezequiel,M,10919
Ezra,M,35182
Fabian,M,34229
Fabiola,F,7023
Faith,F,126790
Fallon,F,6684
Fannie,F,54028
Farrah,F,8120
